id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
100,MCA,MCA,"68,66,68,76",,
101,PWC,PWC,"100,90,10,2",,
102,PDO,PDO,"20,89,100,10",,
103,CHV,CHV,"24,73,100,15",,
104,FWD,FWD,"87,36,100,31",,
105,KEN,KEN,"100,87,25,10",,
106,VVH,VVH,"39,74,96,47",,
107,GRE,GRE,"0,100,100,0",,
108,AHW,AHW,"96,73,2,0",,
109,ADB,ADB,"32,100,95,47",,
110,CVP,CVP,"76,52,0,0",,
111,DFT,DFT,"97,82,24,9",,
112,TCH,TCH,"100,75,35,20",,
113,ADC,ADC,"36,85,91,55",,
114,A43,A43,"22,100,100,14",,
115,CTR,CTR,"90,41,71,33",,
116,RGN,RGN,"81,24,100,9",,
117,CCL,CCL,"2,43,99,0",,
118,CRX,CRX,"85,50,0,0",,
119,CNB,CNB,"100,89,7,0",,
120,CLK,CLK,"35,88,84,49",,
121,CHB,CHB,"71,2,44,0",,
122,CLL,CLL,"85,42,84,42",,
123,VSQ,VSQ,"75,68,67,90",,
124,WST,WST,"35,44,80,10",,
125,INM,INM,"97,76,1,0",,
126,CNY,CNY,"74,5,30,0",,
127,ALG,ALG,"100,90,18,5",,
128,HPV,HPV,"100,99,23,10",,
129,HPV,HPV,"100,99,23,10",,
130,LEW,LEW,"96,73,2,0",,
131,CSR,CSR,"89,31,96,21",,
132,TWP,TWP,"24,91,93,18",,
133,CHW,CHW,"35,99,95,55",,
134,ANI,ANI,"90,33,98,25",,
135,AEM,AEM,"38,84,76,22",,
136,LAN,LAN,"98,72,19,4",,
137,GLS,GLS,"78,11,45,0",,
138,JFS,JFS,"70,82,1,0",,
139,ACE,ACE,"13,68,73,2",,
140,SDC,SDC,"80,53,0,0",,
141,LIV,LIV,"83,35,34,4",,
142,VPR,VPR,"84,30,39,4",,
143,NDE,NDE,"87,38,74,28",,
144,NHO,NHO,"40,0,7,5",,
146,SAT,SAT,"97,92,26,13",,
147,COS,COS,"76,6,36,0",,
148,CMA,CMA,"96,72,50,48",,
149,GRC,GRC,"0,100,100,0",,
150,TLV,TLV,"81,22,49,2",,
151,BDN,BDN,"29,100,85,37",,
152,KRN,KRN,"82,34,100,26",,
153,HRH,HRH,"81,33,16,0",,
154,BKL,BKL,"96,72,2,0",,
155,LWS,LWS,"81,33,16,0",,
156,HHV,HHV,"80,48,18,1",,
157,GAC,GAC,"81,33,16,0",,
158,WHE,WHE,"81,33,15,0",,
159,HMV,HMV,"72,28,30,1",,
160,GIS,GIS,"81,33,16,0",,
161,SCR,SCR,"24,100,94,18",,
162,KND,KND,"2,65,100,0",,
164,THR,THR,"100,100,24,10",,
165,ALC,ALC,"97,95,4,0",,
166,NCA,NCA,"100,80,18,4",,
167,ACC,ACC,"65,32,36,2",,
168,AVC,AVC,"78,49,0,0",,
169,GUJ,GUJ,"100,89,34,25",,
170,WCH,WCH,"100,84,27,13",,
171,BRC,BRC,"80,48,0,0",,
172,AMS,AMS,"20,100,98,11",,
173,CYP,CYP,"90,58,45,24",,
174,LKC,LKC,"74,41,52,16",,
175,MNT,MNT,"88,76,49,51",,
176,HRT,HRT,"8,99,98,1",,
177,BAY,BAY,"69,39,92,29",,
178,DLN,DLN,"78,33,34,3",,
179,WTC,WTC,"100,75,27,10",,
180,WTE,WTE,"100,75,27,10",,
181,CHQ,CHQ,"89,66,0,0",,
182,DLR,DLR,"1,99,97,0",,
183,ROW,ROW,"28,96,91,29",,
184,WLK,WLK,"81,44,100,48",,
185,BEA,BEA,"28,96,99,31",,
186,AHY,AHY,"57,28,100,8",,
187,BDH,BDH,"24,92,100,17",,
188,ANC,ANC,"58,15,83,1",,
189,SUP,SUP,"11,97,95,2",,
190,COT,COT,"13,97,95,4",,
191,BRG,BRG,"30,100,97,38",,
192,ACP,ACP,"89,61,0,0",,
193,WOK,WOK,"74,68,64,80",,
197,MSH,MSH,"39,58,69,22",,
199,FVL,FVL,"88,45,33,7",,
200,BCH,BCH,"96,78,2,0",,
201,TRM,TRM,"22,91,60,7",,
202,ROL,ROL,"72,4,19,0",,
203,CHA,CHA,"27,71,94,17",,
204,DDG,DDG,"22,100,89,14",,
206,RUG,RUG,"98,75,4,0",,
207,OVR,OVR,"99,98,14,3",,
208,CPK,CPK,"7,56,55,0",,
209,REP,REP,"73,42,63,24",,
210,RNT,RNT,"34,91,98,50",,
211,PDL,PDL,"100,76,29,13",,
212,PAW,PAW,"42,0,100,0",,
213,BTL,BTL,"89,29,84,17",,
214,BRN,BRN,"51,40,78,17",,
215,YRK,YRK,"53,13,20,0",,
216,AMC,AMC,"82,51,55,31",,
217,BRW,BRW,"29,73,100,22",,
218,UVS,UVS,"21,100,77,12",,
219,CUM,CUM,"100,94,2,2",,
220,SHN,SHN,"82,62,0,0",,
221,HER,HER,"52,19,59,1",,
222,HCC,HCC,"59,87,44,38",,
223,NMB,NMB,"76,12,53,0",,
224,MRS,MRS,"78,23,9,0",,
225,BRD,BRD,"1,38,82,0",,
226,MAG,MAG,"75,57,35,13",,
227,WHR,WHR,"89,50,9,0",,
228,CLU,CLU,"2,46,96,0",,
229,BUT,BUT,"59,27,77,7",,
230,ADD,ADD,"67,13,0,0",,
231,WGA,WGA,"93,75,1,0",,
232,AHM,AHM,"73,42,84,34",,
233,HON,HON,"0,94,81,0",,
234,TCV,TCV,"85,43,11,0",,
235,PMT,PMT,"79,34,100,25",,
236,GRD,GRD,"1,75,90,0",,
237,PHL,PHL,"78,36,97,28",,
238,NVH,NVH,"68,24,6,0",,
239,MYR,MYR,"14,100,98,0",,
240,RCY,RCY,"66,31,85,14",,
241,HAW,HAW,"78,65,26,7",,
242,PAM,PAM,"93,53,39,16",,
243,MRR,MRR,"71,35,92,23",,
244,TRV,TRV,"87,55,14,1",,
246,HOP,HOP,"39,9,17,0",,
247,BML,BML,"84,28,49,0",,
248,NEW,NEW,"75,60,59,49",,
249,MTV,MTV,"50,39,100,17",,
250,WAH,WAH,"64,29,70,9",,
251,AHE,AHE,"69,49,36,9",,
252,ALA,ALA,"0,61,99,0",,
253,BNB,BNB,"25,100,9,0",,
254,CRR,CRR,"0,61,99,0",,
255,HML,HML,"87,34,100,29",,
256,BAR,BAR,"100,87,3,0",,
257,MVA,MVA,"79,53,43,19",,
258,MMP,MMP,"61,34,82,16",,
259,FPW,FPW,"100,92,20,12",,
261,HWT,HWT,"45,20,7,0",,
262,SNS,SNS,"0,32,100,0",,
263,GLE,GLE,"13,30,79,0",,
264,WLM,WLM,"87,52,0,0",,
265,GOL,GOL,"13,30,79,0",,
266,DNG,DNG,"17,79,67,4",,
267,LAW,LAW,"56,30,3,0",,
268,GLV,GLV,"2,68,58,0",,
269,MPL,MPL,"87,44,72,40",,
270,CDV,CDV,"89,67,0,0",,
271,LFT,LFT,"89,53,15,1",,
272,HHO,HHO,"21,80,60,5",,
273,VLV,VLV,"34,72,100,33",,
274,BLG,BLG,"16,25,50,0",,
275,TAC,TAC,"15,95,100,5",,
276,WLB,WLB,"100,92,20,7",,
277,TES,TES,"69,5,34,0",,
278,FVO,FVO,"88,38,86,35",,
279,HUR,HUR,"75,56,76,77",,
280,VMD,VMD,"100,92,20,7",,
281,WMU,WMU,"100,44,0,0",,
282,DNV,DNV,"60,3,12,25",,
283,WMI,WMI,"75,15,98,2",,
284,LCU,LCU,"100,59,0,21",,
285,RDB,RDB,"17,35,79,0",,
286,PCM,PCM,"86,54,0,0",,
287,SDP,SDP,"79,42,2,0",,
288,CMU,CMU,"90,41,80,39",,
289,ASW,ASW,"95,70,0,0",,
290,HFV,HFV,"98,77,22,7",,
291,VAC,VAC,"18,100,98,9",,
292,GAR,GAR,"91,65,0,0",,
293,AHS,AHS,"75,45,100,45",,
294,HVC,HVC,"4,100,83,0",,
295,OWN,OWN,"60,0,80,35",,
296,MAD,MAD,"85,44,0,0",,
297,MAH,MAH,"94,99,3,0",,
298,NOK,NOK,"75,0,100,0",,
299,TDD,TDD,"25,100,100,27",,
300,BCK,BCK,"76,28,83,13",,
301,ATH,ATH,"28,96,91,29",,
302,OXF,OXF,"25,100,100,22",,
304,LEN,LEN,"24,100,96,18",,
305,BDO,BDO,"91,60,8,0",,
306,ACO,ACO,"42,8,90,0",,
307,HEB,HEB,"100,84,23,8",,
308,HMP,HMP,"75,0,100,0",,
309,NRW,NRW,"64,25,49,3",,
310,SMU,SMU,"92,66,42,26",,
311,RKY,RKY,"91,82,0,0",,
312,TVA,TVA,"78,13,100,2",,
313,FLD,FLD,"77,72,56,65",,
314,FOS,FOS,"80,44,37,8",,
315,STJ,STJ,"72,0,100,43",,
316,STL,STL,"73,9,93,0",,
318,CPT,CPT,"100,91,32,34",,
319,TAH,TAH,"22,4,0,0",,
320,S24,S24,"28,96,92,29",,
321,PA4,PA4,"69,60,7,0",,
322,TCG,TCG,"96,86,23,9",,
323,PCF,PCF,"99,100,18,19",,
324,AKR,AKR,"25,95,100,23",,
325,CST,CST,"100,0,0,0",,
326,VIT,VIT,"15,87,75,3",,
327,CCM,CCM,"88,52,0,0",,
328,PRN,PRN,"60,0,99,55",,
329,PNL,PNL,"49,0,99,0",,
330,CGN,CGN,"1,74,97,0",,
331,CHE,CHE,"100,90,21,7",,
332,ROG,ROG,"28,100,99,30",,
333,MLT,MLT,"100,91,18,6",,
334,DEM,DEM,"88,52,0,0",,
335,ADO,ADO,"65,30,36,2",,
336,VLN,VLN,"46,69,88,59",,
337,QTM,QTM,"78,33,99,22",,
338,GLM,GLM,"27,89,73,19",,
339,ART,ART,"31,93,91,39",,
340,PRM,PRM,"70,12,32,0",,
341,AMT,AMT,"27,100,74,22",,
342,WAT,WAT,"100,75,27,10",,
343,DKR,DKR,"1,98,95,0",,
344,KRM,KRM,"100,72,0,18",,
345,KMB,KMB,"97,75,36,23",,
346,ALT,ALT,"91,59,38,18",,
347,GRV,GRV,"84,32,77,20",,
348,SBR,SBR,"69,22,100,5",,
349,CMB,CMB,"66,60,37,15",,
350,KNL,KNL,"64,0,26,0",,
351,LOC,LOC,"69,16,0,0",,
352,PAC,PAC,"75,0,99,0",,
353,AAH,AAH,"87,41,28,3",,
354,SPB,SPB,"27,91,77,22",,
355,ARI,ARI,"88,25,100,13",,
356,ELG,ELG,"68,14,0,0",,
357,ARH,ARH,"56,18,24,0",,
358,ZYY,ZYY,"91,67,3,0",,
359,ZRC,ZRC,"0,45,98,0",,
360,ZAV,ZAV,"78,22,23,0",,
361,ZAC,ZAC,"78,23,56,4",,
362,ZBA,ZBA,"73,41,0,0",,
363,ZBL,ZBL,"93,80,0,0",,
364,ZBR,ZBR,"80,60,0,0",,
365,ZBU,ZBU,"91,80,1,0",,
366,ZCL,ZCL,"94,65,47,34",,
367,ZHW,ZHW,"66,43,3,0",,
368,ZMT,ZMT,"67,41,79,29",,
369,ZMV,ZMV,"30,100,99,42",,
370,ZOD,ZOD,"100,91,22,8",,
371,ZPA,ZPA,"31,42,100,7",,
372,ZSA,ZSA,"82,71,0,0",,
373,ZSV,ZSV,"21,54,54,2",,
374,ZVF,ZVF,"78,44,76,41",,
375,,ZPE,"94,41,31,44",,
376,,ZCP,"70,67,63,74",,
377,,ZCS,"92,60,46,29",,
378,,ZDR,"87,42,80,29",,
379,,ZFP,"69,20,0,0",,
380,,ZHP,"72,75,49,48",,
381,,ZHC,"72,16,15,0",,
382,,ZHI,"55,78,47,36",,
383,,ZJL,"82,45,95,39",,
384,,ZLP,"93,13,14,19",,
385,,ZPH,"25,94,98,38",,
386,,ZTN,"74,53,17,1",,
387,,ZVI,"61,31,0,0",,
388,,ZAB,"0,71,90,0",,
389,,ZAL,"90,55,33,11",,
390,,ZBC,"100,100,30,20",,
391,,ZCA,"92,83,0,0",,
392,,ZCC,"90,56,5,0",,
393,,ZCV,"80,38,0,0",,
394,,ZFC,"60,51,47,17",,
395,,ZHE,"53,3,38,0",,
396,,ZNR,"70,21,12,0",,
397,,ZPK,"85,16,100,3",,
398,,ZCD,"87,36,60,17",,
399,,ZVV,"29,18,16,53",,
400,,VWC,"84,35,30,2",,
401,,ZYP,"61,52,52,23",,
402,,A224F,"86,38,54,15",,
403,,A222F,"18,100,90,7",,
404,,A215F,"93,64,10,1",,
405,,A232F,"81,40,0,0",,
406,,A230F,"48,63,82,50",,
407,,A223F,"86,50,0,0",,
408,,A233F,"13,92,99,4",,
409,,A234F,"44,66,71,38",,
410,,A229F,"34,11,4,0",,
411,,A219F,"94,60,20,3",,
412,,A220F,"100,98,28,20",,
413,,A226F,"86,50,0,0",,
414,,A225F,"74,49,0,0",,
415,,A237F,"42,64,71,34",,
416,,A211F,"20,100,81,12",,
417,,A218F,"99,75,13,2",,
418,,A217F,"100,89,34,25",,
419,,A227F,"27,89,87,25",,
420,,A210F,"67,43,4,0",,
421,,A235F,"43,29,56,3",,
422,,A228F,"86,47,2,0",,
423,,A005F,"74,22,0,0",,
424,,A037F,"95,92,46,60",,
425,,A056F,"100,96,2,2",,
426,,A034F,"100,77,32,17",,
427,,A130F,"36,60,81,24",,
428,,A181F,"17,99,95,7",,
429,,A031F,"100,95,20,7",,
431,,A088F,"60,31,3,0",,
432,,A067F,"72,42,35,5",,
433,,A209F,"0,99,97,0",,
434,,A189F,"57,80,62,77",,
435,,A190F,"89,30,100,20",,
436,,A136F,"10,12,36,0",,
437,,A134F,"72,27,16,0",,
438,,A126F,"82,16,62,2",,
439,,A032F,"8,17,41,0",,
440,,A080F,"57,2,1,0",,
441,,A015F,"100,82,41,36",,
442,,A207F,"76,11,26,0",,
443,,A062F,"93,65,33,15",,
444,,A036F,"1,99,95,0",,
445,,A068F,"91,91,1,0",,
446,,A065F,"62,95,43,43",,
447,,A100F,"70,64,0,0",,
448,,A048F,"73,47,100,50",,
449,,A054F,"42,78,60,38",,
450,,A089F,"79,34,18,0",,
451,,A051F,"100,93,15,7",,
452,,A107F,"2,31,26,0",,
453,,A052F,"64,67,35,15",,
454,,A041F,"22,100,75,14",,
456,,A147A,"1,28,100,0",,
457,,A050F,"69,63,62,58",,
458,,A183F,"75,25,14,0",,
459,,A097F,"73,84,16,3",,
460,,A206F,"76,11,26,0",,
461,,A882D,"98,85,20,6",,
462,,A070F,"9,10,38,0",,
463,,A024F,"96,73,2,0",,
464,,A058F,"100,86,1,0",,
465,,A195F,"43,35,35,1",,
466,,A205F,"76,11,26,0",,
467,,A122F,"80,53,13,0",,
468,,A099F,"100,78,41,34",,
469,,A186F,"67,17,50,1",,
470,,A224A,"74,18,41,0",,
471,,A124F,"56,8,22,0",,
472,,A142F,"76,34,0,0",,
473,,A095F,"100,82,41,36",,
474,,A035F,"100,82,41,36",,
475,,A194F,"69,26,30,0",,
476,,A148F,"27,19,18,0",,
477,,A029F,"86,70,1,0",,
478,,A202F,"76,11,26,0",,
479,,A173E,"98,69,22,5",,
480,,A141F,"0,67,88,0",,
481,,A131F,"85,44,100,50",,
482,,A191F,"56,0,27,0",,
483,,A025F,"23,100,97,16",,
484,,A116F,"74,63,0,0",,
485,,A078F,"59,38,64,15",,
486,,A090F,"76,0,75,0",,
487,,A133F,"16,100,100,7",,
488,,A083F,"93,71,8,1",,
489,,A125F,"20,28,22,0",,
490,,A040F,"36,45,79,12",,
491,,A042F,"70,16,1,0",,
492,,A098F,"87,80,49,58",,
493,,A016F,"11,96,100,2",,
494,,A081F,"41,13,65,0",,
495,,A180F,"86,39,100,39",,
496,,A242F,"86,39,100,39",,
497,,A073F,"76,60,25,5",,
498,,A201F,"76,11,26,0",,
499,,A075F,"64,72,24,5",,
500,,A096F,"0,74,98,0",,
501,,A021F,"100,81,36,24",,
502,,A049F,"72,4,19,0",,
503,,A059F,"98,78,47,49",,
504,,A060F,"98,78,47,49",,
505,,A064F,"49,2,94,0",,
506,,A102F,"51,4,66,0",,
507,,A120F,"77,67,11,1",,
508,,A014F,"96,92,0,0",,
509,,A204F,"76,11,26,0",,
510,,A094F,"89,73,2,0",,
511,,A103F,"35,90,87,53",,
512,,A011F,"100,84,22,7",,
513,,A106F,"96,67,33,15",,
514,,A188F,"81,40,3,0",,
515,,A121F,"93,65,2,0",,
516,,A147F,"69,63,62,56",,
517,,A053F,"96,64,33,14",,
518,,A196F,"69,26,30,0",,
519,,A066F,"97,79,28,13",,
520,,A074F,"45,17,61,0",,
521,,A046F,"71,64,64,65",,
522,,A027F,"72,58,40,18",,
523,,A030F,"0,88,66,0",,
524,,A101F,"3,73,90,0",,
525,,A137F,"11,12,29,0",,
526,,A109F,"76,14,39,0",,
527,,A063F,"100,78,6,0",,
528,,A105F,"26,100,52,11",,
529,,A057F,"87,36,89,30",,
530,,A002F,"95,93,2,0",,
532,,A113F,"97,65,37,20",,
533,,A151E,"81,40,0,0",,
534,,A145F,"71,2,100,0",,
535,,A184F,"27,100,100,32",,
536,,A061F,"100,93,11,2",,
537,,A018F,"98,68,40,25",,
538,,A028F,"55,19,100,2",,
540,,A006F,"26,100,81,22",,
541,,A007F,"26,100,81,22",,
542,,A008F,"27,100,98,30",,
543,,A001F,"67,85,0,0",,
544,,A012F,"38,86,91,59",,
545,,A117F,"0,62,80,0",,
546,,A132F,"61,12,0,0",,
547,,A111F,"16,97,96,6",,
548,,A112F,"34,95,85,50",,
549,,A077F,"85,38,24,1",,
550,,A114F,"91,62,25,7",,
551,,A038F,"2,67,99,0",,
552,,A023F,"100,88,21,7",,
555,,A192F,"100,82,44,47",,
556,,A082F,"82,100,18,12",,
557,,A085F,"44,73,69,47",,
558,,A143F,"87,20,100,6",,
559,,A079F,"89,41,52,18",,
560,,A129F,"31,100,63,31",,
561,,A163C,"98,77,4,0",,
562,,A084F,"2,37,100,0",,
563,,A010F,"44,36,36,1",,
564,,A185F,"45,24,0,0",,
565,,A144F,"93,62,33,13",,
566,,A193F,"86,36,42,7",,
567,,A203F,"76,11,26,0",,
568,,A187F,"69,4,2,0",,
569,,A045F,"100,78,34,20",,
571,,A179F,"73,65,63,65",,
572,,A043F,"93,80,38,29",,
573,,A093F,"98,68,40,25",,
574,,A047F,"59,11,0,0",,
575,,A197F,"70,63,61,54",,
576,,A013F,"85,63,27,8",,
577,,A200F,"76,11,26,0",,
578,,A139F,"96,70,33,17",,
579,,A033F,"62,20,61,2",,
580,,A026F,"67,25,0,0",,
581,,A198F,"14,20,25,0",,
582,,A092F,"87,50,50,25",,
583,,A199F,"89,47,24,3",,
584,,A182F,"0,99,97,0",,
589,,A333F,"90,51,55,32",,
590,,A280F,"60,26,66,5",,
591,,A284F,"26,100,99,25",,
592,,A301F,"42,64,71,34",,
593,,A315F,"38,45,58,9",,
594,,A288F,"32,94,78,39",,
595,,A283F,"86,36,42,8",,
596,,A302F,"89,77,53,64",,
597,,A294F,"38,45,58,9",,
598,,A304F,"42,64,71,34",,
599,,A332F,"42,64,71,34",,
600,,A329F,"51,40,78,17",,
601,,A285F,"38,99,49,25",,
602,,A287F,"87,39,44,11",,
603,,A309F,"42,64,71,34",,
604,,A310F,"48,20,70,1",,
605,,A312F,"38,45,58,9",,
606,,A326F,"0,73,100,0",,
607,,A321F,"51,40,78,17",,
608,,A307F,"38,45,58,9",,
609,,A323F,"33,99,96,52",,
610,,A322F,"39,28,60,2",,
611,,A303F,"84,67,0,0",,
612,,A295F,"42,64,71,34",,
613,,A327F,"67,9,4,0",,
614,,A298F,"88,35,100,29",,
615,,A292F,"82,42,0,0",,
616,,A314F,"51,40,78,17",,
617,,A325F,"52,31,23,0",,
618,,A290F,"42,64,71,34",,
619,,A311F,"47,59,73,36",,
620,,A297F,"56,27,0,0",,
621,,A291F,"47,59,72,35",,
622,,A282F,"42,64,71,34",,
623,,A316F,"47,59,73,36",,
624,,A275F,"30,100,86,36",,
625,,A317F,"42,64,71,34",,
626,,A318F,"28,15,0,0",,
627,,A293F,"52,68,58,39",,
628,,A308F,"57,70,73,74",,
629,,A278F,"59,69,73,76",,
630,,A305F,"38,45,58,9",,
631,,A306F,"100,89,20,6",,
632,,A299F,"42,64,71,34",,
633,,A279F,"42,64,71,34",,
634,,A281F,"27,14,1,0",,
635,,A286F,"6,5,11,0",,
636,,A330F,"60,26,66,5",,
637,,A289F,"29,15,2,0",,
638,,A296F,"42,64,71,34",,
639,,A300F,"67,48,99,46",,
640,,A313F,"33,64,97,24",,
641,,A328F,"57,31,63,8",,
642,,A277F,"52,31,23,0",,
643,,A324F,"100,79,8,0",,
644,,A319F,"82,41,100,41",,
645,,A331F,"7,9,27,0",,
646,Z01,Z01,"100,88,29,15",,
647,ZAS,ZAS,"85,53,0,0",,
648,Z02,Z02,"38,6,87,0",,
649,ZAD,A975C,"69,0,100,0",,
650,ZNA,ZNA,"33,30,55,1",,
651,Z03,Z03,"87,50,50,25",,
652,ZAA,ZAA,"91,55,15,1",,
653,ZCH,ZCH,"24,100,100,20",,
654,Z04,Z04,"76,46,62,30",,
655,Z05,Z05,"63,29,0,0",,
656,ZAE,A666C,"84,41,100,43",,
657,ZET,ZET,"91,50,33,8",,
658,ZFV,ZFV,"100,82,41,36",,
659,ZFR,ZFR,"0,0,0,100",,
660,ZHA,ZHA,"71,32,79,16",,
661,Z06,Z06,"80,39,85,33",,
662,ZHV,ZHV,"79,58,0,0",,
663,ZKA,ZKA,"14,11,11,0",,
664,ZMF,ZMF,"88,34,79,24",,
665,ZMR,ZMR,"95,66,19,4",,
666,ZMO,ZMO,"87,33,50,9",,
667,ZNS,ZNS,"64,24,80,6",,
668,ZPV,ZPV,"88,66,0,0",,
669,ZRD,ZRD,"25,56,64,6",,
670,ZSL,ZSL,"24,100,100,22",,
671,ZSW,ZSW,"58,11,40,0",,
672,ZWN,ZWN,"84,76,0,0",,
673,ZWC,ZWC,"26,99,97,24",,
674,ZWS,ZWS,"51,62,72,44",,
675,ZWO,ZWO,"32,69,61,16",,
676,ZAF,A024D,"0,99,95,0",,
677,ZAG,A988C,"91,62,11,1",,
678,ZAH,A987C,"62,38,100,22",,
679,ZAI,A645C,"100,98,39,47",,
680,ZAJ,A979C,"1,28,98,0",,
681,ZAK,A982C,"84,81,22,7",,
682,ZAM,A980C,"57,22,24,0",,
683,ZAN,A149D,"68,41,42,9",,
684,,A148D,"41,43,51,7",,
685,,A977C,"100,94,30,21",,
686,ZAO,A082D,"38,17,46,0",,
687,ZAQ,A981C,"70,16,1,0",,
688,ZAT,A083D,"80,8,70,0",,
689,ZAU,A986C,"81,44,53,22",,
690,,A991C,"100,86,15,2",,
691,,A783C,"99,81,7,1",,
692,,A993C,"76,5,34,0",,
693,,A084D,"93,66,0,0",,
694,,A687C,"65,28,53,5",,
695,,A116D,"82,20,100,6",,
696,,A062D,"0,80,62,0",,
697,,A717C,"84,81,22,7",,
698,,A061D,"37,0,16,0",,
699,,A661C,"73,8,10,0",,
700,,A662C,"28,100,99,30",,
701,,A569C,"70,35,21,0",,
702,,A683C,"36,11,47,0",,
703,,A968C,"63,0,0,0",,
704,,A702C,"84,13,100,2",,
705,,A921C,"88,38,73,27",,
706,,A010D,"78,26,4,0",,
707,,A596C,"69,41,49,14",,
708,,A037D,"74,8,100,0",,
709,,A100D,"0,100,98,0",,
710,,A609C,"17,100,91,7",,
711,,A832C,"77,58,9,0",,
712,,A924C,"82,39,0,0",,
713,,A028D,"40,84,62,42",,
714,,A658C,"0,0,0,50",,
715,,A926C,"85,63,37,18",,
716,,A054D,"78,35,31,2",,
717,,A578C,"65,11,100,1",,
718,,A634C,"87,29,61,11",,
719,,A720C,"71,28,0,0",,
720,,A631C,"83,65,44,29",,
721,,A748C,"73,21,0,0",,
722,,A162D,"56,55,63,33",,
723,,A760C,"84,13,100,2",,
724,,A588C,"94,64,23,6",,
725,,A731C,"93,86,0,0",,
726,,A915C,"73,55,2,0",,
727,,A929C,"73,55,2,0",,
728,,A027D,"32,98,98,47",,
729,,A092D,"25,80,100,17",,
730,,A571C,"91,35,100,28",,
731,,A565C,"11,100,100,3",,
732,,A730C,"41,88,79,64",,
733,,A830C,"0,56,93,0",,
734,,A579C,"75,68,67,90",,
735,,A733C,"22,89,100,14",,
736,,A677C,"74,34,13,0",,
737,,A774C,"18,89,95,8",,
738,,A029D,"69,0,100,0",,
739,,A604C,"0,35,90,0",,
740,,A097D,"33,25,24,0",,
741,,A650C,"54,9,0,0",,
742,,A732C,"42,21,24,0",,
743,,A600C,"100,94,27,14",,
744,,A060D,"100,99,40,49",,
745,,A620C,"97,80,36,26",,
746,,A583C,"69,48,98,49",,
747,,A652C,"15,93,80,4",,
748,,A052D,"100,99,16,8",,
749,,A659C,"87,34,100,28",,
750,,A660C,"65,29,0,0",,
751,,A781C,"100,86,34,23",,
752,,A971C,"58,22,24,0",,
753,,A914C,"16,100,97,6",,
754,,A825C,"87,60,0,0",,
755,,A970C,"67,16,0,0",,
756,,A125D,"9,9,14,0",,
757,,A723C,"1,41,82,0",,
758,,A622C,"96,65,35,16",,
759,,A969C,"62,43,34,5",,
760,,A120D,"84,13,100,2",,
761,,A775C,"84,78,47,48",,
762,,A852C,"83,39,29,3",,
763,,A117D,"69,63,62,56",,
764,,A719C,"80,100,35,31",,
765,,A726C,"70,29,0,0",,
766,,A665C,"80,8,70,0",,
767,,A651C,"73,78,56,74",,
768,,A161D,"73,78,56,74",,
769,,A152D,"87,53,35,12",,
770,,A697C,"29,96,100,35",,
771,,A065D,"18,100,90,7",,
772,,A753C,"56,21,95,3",,
773,,A018D,"16,16,100,0",,
774,,A722C,"92,67,29,11",,
775,,A831C,"93,59,24,5",,
776,,A682C,"42,21,24,0",,
777,,A849C,"25,20,21,0",,
778,,A713C,"35,60,80,25",,
779,,A920C,"69,100,24,14",,
780,,A782C,"84,62,1,0",,
781,,A063D,"51,15,75,0",,
782,,A966C,"44,71,90,56",,
783,,A764C,"91,46,73,47",,
784,,A613C,"54,23,0,0",,
785,,A584C,"1,90,86,0",,
786,,A643C,"35,99,96,55",,
787,,A119D,"53,0,35,0",,
788,,A118D,"0,0,0,100",,
789,,A066D,"67,60,59,45",,
790,,A672C,"95,82,51,65",,
791,,A671C,"6,64,100,0",,
792,,A965C,"31,91,77,36",,
793,,A824C,"32,96,93,45",,
794,,A649C,"100,94,30,21",,
795,,A641C,"78,33,9,0",,
796,,A025D,"69,20,100,4",,
797,,A711C,"0,0,0,80",,
798,,A595C,"58,35,0,0",,
799,,A611C,"31,100,68,31",,
800,,A912C,"82,46,67,37",,
801,,A724C,"95,71,1,0",,
802,,A963C,"53,0,15,0",,
803,,A833C,"89,32,100,25",,
804,,A562C,"86,21,100,7",,
805,,A718C,"86,21,100,9",,
806,,A573C,"32,91,68,31",,
807,,A009D,"100,97,23,10",,
808,,A104D,"89,78,55,72",,
809,,A674C,"18,100,90,7",,
810,,A110D,"66,2,52,0",,
811,,A736C,"83,56,19,2",,
812,,A594C,"34,36,0,0",,
813,,A348E,"87,32,64,15",,
814,,A928C,"37,44,46,4",,
815,,A657C,"84,49,83,62",,
816,,A030D,"100,89,15,3",,
817,,A676C,"0,46,89,0",,
818,,A099D,"59,69,62,59",,
819,,A572C,"75,100,36,33",,
820,,A822C,"0,65,84,0",,
821,,A826C,"85,64,43,27",,
822,,A138D,"98,93,41,60",,
823,,A038D,"74,0,98,0",,
824,,A699C,"38,0,99,0",,
825,,A967C,"31,100,99,42",,
826,,A823C,"42,64,71,34",,
827,,A925C,"93,63,45,30",,
828,,A820C,"1,11,95,0",,
829,,A694C,"81,40,0,0",,
830,,A853C,"87,92,0,0",,
831,,A044D,"47,82,53,41",,
832,,A755C,"55,60,65,40",,
833,,A916C,"96,69,42,29",,
834,,A633C,"83,53,67,54",,
835,,A772C,"87,52,0,0",,
836,,A663C,"36,4,82,0",,
837,,A664C,"70,15,0,0",,
838,,A627C,"84,45,29,4",,
839,,A606C,"58,29,100,9",,
840,,A756C,"58,23,1,0",,
841,,A612C,"100,89,42,51",,
