id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
3565,GAW,GAW,"15,100,100,6",,
3566,ARC,ARC,"2,65,100,0",,
3567,ALP,ALP,"36,67,100,32",,
3568,APL,APL,"100,97,22,9",,
3569,INT,INT,"70,78,0,0",,
3570,WOV,WOV,"28,45,100,7",,
3571,BAL,BAL,"1,31,100,0",,
3572,KIM,KIM,"17,94,79,5",,
3573,HSC,HSC,"31,93,67,29",,
3574,DAV,DAV,"85,31,47,7",,
3575,CHS,CHS,"85,33,83,23",,
3576,JON,JON,"100,84,18,13",,
3577,OSA,OSA,"33,93,93,40",,
3578,LIE,LIE,"71,46,25,3",,
3579,GRR,GRR,"86,50,10,0",,
3580,BOO,BOO,"100,84,18,13",,
3581,HMT,HMT,"91,54,53,32",,
3582,BYS,BYS,"77,30,0,0",,
3583,LAK,LAK,"46,25,18,0",,
3584,BTH,BTH,"52,25,100,5",,
3585,CMP,CMP,"85,47,0,0",,
3586,COL,COL,"68,35,57,21",,
3587,RVW,RVW,"60,38,10,0",,
3588,TTR,TTR,"82,51,49,24",,
3589,CCA,CCA,"86,64,0,0",,
3590,PIC,PIC,"0,99,97,0",,
3591,NWT,NWT,"90,37,99,35",,
3592,BVL,BVL,"91,86,30,18",,
3593,EPD,EPD,"68,45,18,1",,
3594,WPT,WPT,"63,16,100,2",,
3595,OCN,OCN,"65,0,1,0",,
3596,COH,COH,"13,47,82,3",,
3597,ASC,ASC,"100,97,18,0",,
3598,WGV,WGV,"84,35,31,3",,
3599,LKM,LKM,"0,92,75,0",,
3600,BRK,BRK,"83,70,55,60",,
3601,BSH,BSH,"78,10,39,0",,
3602,ACT,ACT,"18,100,100,10",,
3603,LKP,LKP,"91,81,1,0",,
3604,FOH,FOH,"90,35,94,28",,
3605,TIG,TIG,"47,59,73,37",,
3606,NST,NST,"26,100,100,31",,
3607,WLS,WLS,"78,21,87,6",,
3608,PLS,PLS,"0,90,70,0",,
3609,CCV,CCV,"37,0,37,0",,
3610,TMR,TMR,"28,100,100,35",,
3611,FPM,FPM,"82,15,64,1",,
3612,NOL,NOL,"95,88,17,4",,
3613,BEE,BEE,"62,19,90,0",,
3614,WVH,WVH,"77,13,24,0",,
3615,CHN,CHN,"84,60,16,0",,
3616,CCO,CCO,"89,99,13,3",,
3617,WAC,WAC,"90,67,0,0",,
3618,BNV,BNV,"86,22,98,13",,
3619,HUD,HUD,"88,70,0,0",,
3620,PST,PST,"86,50,0,0",,
3621,WNC,WNC,"100,98,21,31",,
3622,HMN,HMN,"0,92,80,0",,
3623,CLS,CLS,"27,92,53,11",,
3624,UES,UES,"70,25,0,0",,
3625,BHT,BHT,"70,25,0,0",,
3626,BUD,BUD,"70,25,0,0",,
3627,ECN,ECN,"82,35,12,0",,
3628,DWD,DWD,"61,15,95,1",,
3629,RAH,RAH,"43,0,14,21",,
3630,LGN,LGN,"41,91,61,50",,
3631,SHA,SHA,"99,77,11,1",,
3632,CLI,CLI,"99,77,11,1",,
3633,SOM,SOM,"84,54,31,9",,
3634,HLI,HLI,"18,100,89,7",,
3635,HLI,HLI,"18,100,89,7",,
3636,HRL,HRL,"53,51,48,15",,
3637,LTC,LTC,"80,31,31,2",,
3638,BSC,BSC,"91,66,1,0",,
3639,FLR,FLR,"88,77,0,0",,
3640,GLN,GLN,"2,36,91,0",,
3641,STN,STN,"3,85,100,0",,
3642,GOO,GOO,"84,79,50,58",,
3643,PMU,PMU,"10,17,32,15",,
3644,MAY,MAY,"71,15,100,1",,
3645,SDR,SDR,"30,100,99,39",,
3646,PLZ,PLZ,"91,54,18,2",,
3647,WFD,WFD,"80,35,81,24",,
3648,CRW,CRW,"100,88,24,10",,
3649,MON,MON,"16,100,99,6",,
3650,HRN,HRN,"100,98,18,27",,
3651,BGV,BGV,"83,32,100,22",,
3652,RSD,RSD,"78,43,96,44",,
3653,OLD,OLD,"72,9,46,0",,
3654,HRZ,HRZ,"70,16,100,2",,
3655,PAR,PAR,"42,0,33,27",,
3656,CLF,CLF,"36,100,58,37",,
3657,SHB,SHB,"62,53,53,24",,
3658,DGR,DGR,"84,75,36,23",,
3659,AED,AED,"33,50,80,13",,
3660,LPK,LPK,"100,89,29,15",,
3661,ABR,ABR,"87,100,18,7",,
3662,PWL,PWL,"64,11,0,0",,
3663,TLC,TLC,"87,43,21,1",,
3664,FVP,FVP,"67,28,6,0",,
3665,AKG,AKG,"18,98,94,7",,
3666,BFV,BFV,"98,72,13,2",,
3667,BDC,BDC,"77,44,99,46",,
3668,SUS,SUS,"96,75,43,36",,
3669,FOX,FOX,"75,68,67,90",,
3670,BSB,BSB,"89,29,100,18",,
3671,PIP,PIP,"50,0,99,0",,
3672,MNR,MNR,"77,49,57,29",,
3673,TWI,TWI,"28,100,100,40",,
3674,MLW,MLW,"87,47,6,0",,
3675,RDW,RDW,"25,100,100,26",,
3676,ELZ,ELZ,"44,65,88,46",,
3677,IVC,IVC,"78,17,40,0",,
3678,KAT,KAT,"74,23,40,1",,
3679,CML,CML,"64,11,1,0",,
3680,MCR,MCR,"32,64,95,22",,
3681,LOZ,LOZ,"36,98,64,44",,
3682,LOZ,LOZ,"79,61,34,14",,
3683,RCT,RCT,"38,40,83,10",,
3684,CDC,CDC,"13,100,98,3",,
3685,FTH,FTH,"100,98,5,5",,
3686,MCL,MCL,"14,100,98,4",,
3687,POR,POR,"8,93,77,1",,
3688,PRH,PRH,"85,16,100,3",,
3689,WLN,WLN,"1,99,96,0",,
3690,WEB,WEB,"44,64,65,33",,
3691,HBS,HBS,"61,34,77,15",,
